Data,lat,long,Total Cases at this Location,date_confirmation,days_since_start,Total Passengers,City,State,Population,normalized_rank,num_bins
Cases,42.4330519,-122.7279476,2,3/7/2020,47,,,,,1,8
Cases,42.4330519,-122.7279476,2,3/7/2020,47,,,,,1,8
Cases,42.69361481,-121.6504087,1,3/7/2020,47,,,,,1,8
Cases,45.5601,-123.099,3,3/7/2020,47,,,,,1,8
Cases,37.21901241,-119.7624445,1,3/7/2020,47,,,,,1,8
Cases,37.05671494,-122.0015436,1,3/7/2020,47,,,,,1,8
Cases,38.62722,-90.1978,1,3/7/2020,47,,,,,1,8
Cases,27.47160807,-82.30022041,2,3/7/2020,47,,,,,1,8
Cases,33.94158342,-84.57636689,1,3/7/2020,47,,,,,1,8
Cases,33.79076629,-84.46678675,5,3/7/2020,47,,,,,1,8
Cases,33.96147883,-84.02347974,1,3/7/2020,47,,,,,1,8
Cases,33.79076629,-84.46678675,5,3/7/2020,47,,,,,1,8
Cases,33.79076629,-84.46678675,5,3/7/2020,47,,,,,1,8
Cases,42.37182695,-73.20721759,1,3/7/2020,47,,,,,1,8
Cases,42.48609196,-71.39239708,5,3/7/2020,47,,,,,1,8
Cases,42.48609196,-71.39239708,5,3/7/2020,47,,,,,1,8
Cases,42.48609196,-71.39239708,5,3/7/2020,47,,,,,1,8
Cases,42.48609196,-71.39239708,5,3/7/2020,47,,,,,1,8
Cases,43.94185668,-71.82009048,3,3/7/2020,47,,,,,1,8
Cases,42.98656903,-71.12922845,1,3/7/2020,47,,,,,1,8
Cases,43.03588837,-73.0937669,1,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,40.661,-73.944,13,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,41.1624921,-73.75696583,31,3/7/2020,47,,,,,1,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,26.15218767,-80.48771463,3,3/8/2020,48,,,,,1,8
Cases,39.98333,-75.2664,2,3/8/2020,48,,,,,1,8
